,ner_id,link,title,doi
0,1,publication/379917646_Big_Data_40_Meta4_Big_Data_The_Era_of_Big_Intelligence?_sg=zsktbcJzD-7Snq4iZt_bhK066SUqVvqphqNS2NK3_gqug7SUfv4Pa3GtxX8-yeX_IEFrecF4ifn5uJg,Big Data 4.0 = Meta4 (Big Data) = The Era of Big Intelligence, 10.1145/3647722.3647725
1,3,publication/381020866_BIG_DATA_GOVERNANCE_AND_INNOVATION_PERFORMANCE_THE_MEDIATING_ROLE_OF_BIG_DATA_ANALYTIC_CAPABILITIES_AND_ORGANISATIONAL_AGILITY?_sg=LTZdBOBk2irNujiZJDZnx2DSm55UZhrtxjGAKFxaRHKQ-Dfu0UaDBgXfe-fRf776iWqjhUyMT5VsKqk,BIG DATA GOVERNANCE AND INNOVATION PERFORMANCE: THE MEDIATING ROLE OF BIG DATA ANALYTIC CAPABILITIES AND ORGANISATIONAL AGILITY, 10.1142/S1363919624500038
2,5,publication/380207356_Big_Data_Analytics?_sg=9cM__c2z8Q5U7i5ecpdNQsDgG5DURupRvdnfbpZXPbqXGTklTzVJBjOtgi418qMK_sKDF4TZQggz_s0,Big Data Analytics, 10.22214/ijraset.2024.59806
3,7,publication/380014972_Big_Data_and_Product_Lifecycle_Management?_sg=TZvf_SJSKhrUvuQXr4LpRXu28DjSJr3HfNW8qmOXgvvzZj1cy5z2lxb3T1ESuIVnrOGkDB54y9yShVw,Big Data and Product Lifecycle Management, 10.1007/978-3-031-53521-5_3
4,8,publication/379180286_Big_Data_and_Cloud_Computing?_sg=HbJcktWsV3CkwBMNFNttwkr1MY8H331qSBSt5En0rcfxtjU_H74m5BXN2YscGr7BgwRffhMrUc2I0Io,Big Data and Cloud Computing, 10.4018/979-8-3693-0900-1.ch012
5,9,publication/377196858_Big_Data_40_The_Era_of_Big_Intelligence?_sg=-BsyfBvvkc3y7sZSLRfNZNMdTaKY6u_3yQ9p9uprQwYVxwm0Wpxx-5pHHjo8yfMcI8J3vLrT1_vGoIU,Big Data 4.0: The Era of Big Intelligence, 10.30564/jcsr.v6i1.6054
6,10,publication/377514927_Big_Data_Analysis?_sg=cyo0SV4Qplu5rWwxnGUuGN6WgyEwCqx4gfh6tpnRXo3kKB9W2jPCW7bicZpOdd4crQZcUJOsvmydOn8,Big Data : Analysis, 10.48175/IJARSCT-15074
7,11,publication/381262865_From_Data_to_Success_The_Role_of_Interactive_Support_in_Big_Data_Learning_Outcomes?_sg=LLIvYSqKjGQ159p-7D2X8s7dC22VO9dftQuHY1ach4NfvpNvsc-PhqYCl8k-BN2imcyN2Mm_VqoZJW0,From Data to Success: The Role of Interactive Support in Big Data Learning Outcomes, 10.61707/g55xqd25
8,13,publication/380288598_Big_Data_Cannot_Replace_Entrepreneurs?_sg=NTuGOHUwvZUdycq9TTdqf8H1pXD5iAjwhf0q4twq7nKP9PFyNFZXgbAWwZ2kMlk7Y-ew5q5H7Hi6Yqg,Big Data Cannot Replace Entrepreneurs, 10.1017/9781009453387.005
9,14,publication/380207135_Big_Data_Analytics_Future_of_Database?_sg=PykZzKmFobFvTtnlyhxsEzMlVxaNrQYg-aEjwCGVd4Yn2R1zMKCQfv8PEXyh1IE8jrMfHwGbcS1L2ec,Big Data Analytics: Future of Database, 10.22214/ijraset.2024.59502
10,15,publication/381373895_A_guide_to_understanding_big_data_for_the_nurse_scientist_A_discursive_paper?_sg=8AASKUYRihRZWka_yDFndMZ90pQWw5b0X2SOpP-v03mnJOaEoEDLfUbYbJO7lX-mQs-XAaLqv2-HkIA,A guide to understanding big data for the nurse scientist: A discursive paper, 10.1111/nin.12648
11,16,publication/381373487_A_systematic_data_characteristic_understanding_framework_towards_physical-sensor_big_data_challenges?_sg=ziKn_cFl878y54e53US2Mpbyf0odhgr7Ei6NrJzZNuNiTwvbhq3FuK6r5vqvmkhFU1eGXoW-RUltQIw,A systematic data characteristic understanding framework towards physical-sensor big data challenges, 10.1186/s40537-024-00942-5
12,19,publication/380231434_ESSENCE_OF_BIG_DATA?_sg=pTDYuUHLPKwda9Syyqsll2nx3RhZjY-C2biCXUmQpgVzbraOWYhmVP0DXEb24PTCWFaUFgi0qwL8wng,ESSENCE OF BIG DATA, 10.37547/ijmef/Volume04Issue04-06
